iter	Passed	Remaining
306	1169	2639
307	1173	2635
308	1176	2631
309	1181	2630
310	1185	2626
311	1189	2622
312	1193	2618
313	1197	2615
314	1201	2612
315	1205	2610
316	1209	2606
317	1213	2603
318	1217	2599
319	1221	2595
320	1225	2591
321	1229	2588
322	1233	2584
323	1236	2580
324	1240	2576
325	1244	2573
326	1248	2569
327	1252	2565
328	1256	2561
329	1259	2558
330	1263	2554
331	1267	2550
332	1270	2544
333	1273	2540
334	1277	2536
335	1281	2532
336	1285	2528
337	1288	2524
338	1292	2520
339	1296	2516
340	1300	2512
341	1303	2508
342	1306	2501
343	1309	2498
344	1313	2494
345	1316	2487
346	1319	2483
347	1323	2479
348	1327	2475
349	1330	2471
350	1334	2467
351	1338	2463
352	1342	2459
353	1345	2455
354	1349	2451
355	1353	2447
356	1356	2443
357	1360	2440
358	1364	2436
359	1368	2432
360	1371	2428
361	1376	2425
362	1379	2421
363	1384	2418
364	1388	2416
365	1392	2412
366	1396	2408
367	1399	2404
368	1404	2401
369	1407	2397
370	1411	2392
371	1415	2388
372	1419	2385
373	1422	2381
374	1426	2377
375	1430	2373
376	1434	2370
377	1437	2366
378	1441	2362
379	1445	2358
380	1449	2354
381	1452	2350
382	1456	2346
383	1460	2342
384	1464	2338
385	1468	2335
386	1471	2331
387	1475	2327
388	1479	2323
389	1483	2319
390	1486	2315
391	1490	2311
392	1494	2307
393	1497	2303
394	1501	2300
395	1505	2295
396	1509	2292
397	1512	2288
398	1516	2284
399	1520	2280
400	1523	2276
401	1527	2272
402	1531	2268
403	1535	2264
404	1539	2261
405	1542	2257
406	1546	2253
407	1550	2249
408	1553	2245
409	1557	2241
410	1561	2237
411	1565	2233
412	1569	2230
413	1573	2227
414	1577	2223
415	1581	2219
416	1585	2216
417	1589	2213
418	1593	2209
419	1597	2205
420	1601	2202
421	1604	2198
422	1608	2194
423	1612	2190
424	1616	2186
425	1619	2182
426	1623	2178
427	1627	2174
428	1631	2170
429	1634	2167
430	1638	2163
431	1642	2159
432	1645	2155
433	1649	2151
434	1653	2147
435	1656	2143
436	1660	2139
437	1664	2135
438	1668	2131
439	1671	2127
440	1675	2124
441	1679	2120
442	1683	2116
443	1686	2112
444	1690	2108
445	1694	2104
446	1697	2100
447	1701	2096
448	1705	2092
449	1709	2088
450	1712	2085
451	1716	2081
452	1720	2077
453	1723	2073
454	1727	2069
455	1731	2065
456	1734	2061
457	1738	2057
458	1742	2053
459	1745	2049
460	1749	2045
461	1753	2041
462	1757	2038
463	1760	2034
464	1764	2030
465	1769	2028
466	1773	2024
467	1777	2020
468	1781	2016
469	1785	2013
470	1789	2009
471	1792	2005
472	1796	2002
473	1800	1998
474	1804	1994
475	1808	1990
476	1812	1987
477	1816	1983
478	1819	1979
479	1823	1975
480	1827	1971
481	1831	1968
482	1835	1964
483	1838	1960
484	1842	1956
485	1846	1952
486	1850	1948
487	1853	1944
488	1857	1941
489	1861	1937
490	1864	1933
491	1868	1929
492	1872	1925
493	1876	1921
494	1879	1917
495	1883	1913
496	1887	1909
497	1890	1906
498	1894	1902
499	1898	1898
500	1901	1894
501	1905	1890
502	1909	1886
503	1913	1882
504	1916	1878
505	1920	1875
506	1924	1871
507	1927	1866
508	1931	1862
509	1934	1858
510	1938	1855
511	1942	1851
512	1946	1847
513	1949	1843
514	1953	1839
515	1957	1835
516	1960	1831
517	1965	1829
518	1969	1825
519	1973	1821
520	1977	1817
521	1981	1814
522	1985	1810
523	1989	1807
524	1994	1804
525	1997	1800
526	2001	1796
527	2005	1792
528	2009	1788
529	2012	1785
530	2016	1781
531	2020	1777
532	2024	1773
533	2027	1769
534	2031	1765
535	2034	1761
536	2038	1757
537	2042	1753
538	2046	1749
539	2049	1746
540	2053	1742
541	2057	1738
542	2060	1734
543	2064	1730
544	2068	1726
545	2071	1722
546	2075	1718
547	2078	1714
548	2082	1710
549	2086	1706
550	2090	1703
551	2093	1699
552	2097	1695
553	2101	1691
554	2104	1687
555	2108	1683
556	2112	1680
557	2116	1676
558	2119	1672
559	2123	1668
560	2127	1664
561	2130	1660
562	2134	1656
563	2138	1652
564	2141	1648
565	2145	1645
566	2149	1641
567	2152	1637
568	2156	1633
569	2161	1630
570	2165	1626
571	2168	1622
572	2173	1619
573	2177	1615
574	2180	1611
575	2184	1608
576	2188	1604
577	2192	1600
578	2196	1596
579	2200	1593
580	2203	1589
581	2207	1585
582	2211	1581
583	2215	1577
584	2218	1574
585	2222	1570
586	2226	1566
587	2229	1562
588	2233	1558
589	2237	1554
590	2241	1551
591	2244	1547
592	2248	1543
593	2252	1539
594	2255	1535
595	2259	1531
596	2263	1527
597	2267	1524
598	2270	1520
599	2274	1516
600	2278	1512
601	2281	1508
602	2285	1504
603	2288	1500
604	2292	1496
605	2296	1492
606	2299	1488
607	2303	1485
608	2307	1481
609	2310	1477
610	2314	1473
611	2318	1469
612	2321	1465
613	2325	1461
614	2329	1458
615	2333	1454
616	2336	1450
617	2340	1446
618	2344	1442
619	2347	1439
620	2351	1435
621	2355	1431
622	2360	1428
623	2363	1424
624	2367	1420
625	2371	1416
626	2376	1413
627	2380	1409
628	2383	1406
629	2387	1402
630	2392	1398
631	2395	1394
632	2399	1391
633	2403	1387
634	2407	1383
635	2410	1379
636	2414	1375
637	2418	1372
638	2422	1368
639	2425	1364
640	2430	1360
641	2452	1367
642	2464	1368
643	2474	1367
644	2480	1365
645	2485	1362
646	2490	1358
647	2494	1354
648	2497	1350
649	2501	1347
650	2505	1343
651	2508	1339
652	2512	1335
653	2516	1331
654	2520	1327
655	2523	1323
656	2527	1319
657	2531	1315
658	2535	1311
659	2539	1307
660	2542	1304
661	2546	1300
662	2550	1296
663	2553	1292
664	2558	1288
665	2562	1285
666	2566	1281
667	2570	1277
668	2575	1274
669	2579	1270
670	2583	1266
671	2587	1263
672	2591	1259
673	2595	1255
674	2599	1251
675	2603	1247
676	2606	1243
677	2610	1239
678	2614	1235
679	2618	1232
680	2621	1228
681	2625	1224
682	2629	1220
683	2633	1216
684	2637	1212
685	2641	1208
686	2644	1204
687	2648	1201
688	2652	1197
689	2656	1193
690	2659	1189
691	2663	1185
692	2667	1181
693	2671	1177
694	2674	1173
695	2678	1169
696	2682	1166
697	2686	1162
698	2689	1158
699	2693	1154
700	2697	1150
701	2700	1146
702	2704	1142
703	2708	1138
704	2711	1134
705	2715	1130
706	2719	1126
707	2723	1123
708	2726	1119
709	2730	1115
710	2734	1111
711	2738	1107
712	2741	1103
713	2745	1099
714	2749	1095
715	2753	1092
716	2758	1088
717	2761	1084
718	2765	1080
719	2770	1077
720	2773	1073
721	2778	1069
722	2782	1066
723	2786	1062
724	2790	1058
725	2793	1054
726	2797	1050
727	2801	1046
728	2805	1042
729	2809	1038
730	2812	1035
731	2816	1031
732	2820	1027
733	2823	1023
734	2827	1019
735	2831	1015
736	2834	1011
737	2838	1007
738	2842	1003
739	2846	1000
740	2849	996
741	2853	992
742	2857	988
743	2861	984
744	2864	980
745	2868	976
746	2872	972
747	2876	968
748	2879	965
749	2883	961
750	2887	957
751	2891	953
752	2894	949
753	2898	945
754	2902	941
755	2906	937
756	2909	934
757	2913	930
758	2917	926
759	2920	922
760	2924	918
761	2928	914
762	2931	910
763	2935	906
764	2939	902
765	2943	899
766	2946	895
767	2951	891
768	2955	887
769	2959	883
770	2964	880
771	2967	876
772	2971	872
773	2975	868
774	2979	864
775	2983	861
776	2986	857
777	2990	853
778	2994	849
779	2997	845
780	3001	841
781	3005	837
782	3009	833
783	3012	830
784	3016	826
785	3020	822
786	3023	818
787	3027	814
788	3031	810
789	3035	806
790	3038	802
791	3042	799
792	3046	795
793	3049	791
794	3053	787
795	3057	783
796	3060	779
797	3064	775
798	3068	771
799	3071	767
800	3075	764
801	3079	760
802	3082	756
803	3086	752
804	3090	748
805	3094	744
806	3097	740
807	3101	736
808	3105	733
809	3108	729
810	3112	725
811	3116	721
812	3120	717
813	3123	713
814	3127	709
815	3131	706
816	3135	702
817	3138	698
818	3142	694
819	3145	690
820	3150	686
821	3155	683
822	3159	679
823	3166	676
824	3171	672
825	3175	668
826	3179	665
827	3183	661
828	3187	657
829	3191	653
830	3194	649
831	3198	645
832	3202	641
833	3205	638
834	3209	634
835	3213	630
836	3216	626
837	3220	622
838	3224	618
839	3228	614
840	3231	610
841	3235	607
842	3239	603
843	3242	599
844	3246	595
845	3250	591
846	3254	587
847	3257	583
848	3261	580
849	3265	576
850	3268	572
851	3272	568
852	3276	564
853	3280	560
854	3283	556
855	3287	553
856	3290	549
857	3294	545
858	3298	541
859	3302	537
860	3305	533
861	3309	529
862	3313	525
863	3316	522
864	3320	518
865	3324	514
866	3327	510
867	3331	506
868	3335	502
869	3338	498
870	3342	495
871	3346	491
872	3350	487
873	3354	483
874	3358	479
875	3362	475
876	3366	472
877	3370	468
878	3374	464
879	3378	460
880	3382	456
881	3385	452
882	3389	449
883	3393	445
884	3397	441
885	3400	437
886	3404	433
887	3408	429
888	3412	426
889	3416	422
890	3419	418
891	3423	414
892	3427	410
893	3430	406
894	3434	402
895	3438	399
896	3442	395
897	3445	391
898	3449	387
899	3453	383
900	3456	379
901	3460	375
902	3464	372
903	3468	368
904	3471	364
905	3475	360
906	3479	356
907	3483	352
908	3486	349
909	3490	345
910	3494	341
911	3498	337
912	3501	333
913	3505	329
914	3509	326
915	3513	322
916	3516	318
917	3520	314
918	3524	310
919	3527	306
920	3531	302
921	3535	299
922	3538	295
923	3542	291
924	3546	287
925	3550	283
926	3554	279
927	3558	276
928	3561	272
929	3566	268
930	3570	264
931	3574	260
932	3577	256
933	3581	253
934	3585	249
935	3589	245
936	3592	241
937	3596	237
938	3600	233
939	3604	230
940	3607	226
941	3611	222
942	3615	218
943	3619	214
944	3622	210
945	3626	207
946	3630	203
947	3633	199
948	3637	195
949	3641	191
950	3644	187
951	3648	183
952	3652	180
953	3655	176
954	3659	172
955	3663	168
956	3667	164
957	3670	160
958	3674	157
959	3678	153
960	3681	149
961	3685	145
962	3689	141
963	3692	137
964	3696	134
965	3700	130
966	3703	126
967	3707	122
968	3711	118
969	3714	114
970	3718	111
971	3722	107
972	3726	103
973	3729	99
974	3733	95
975	3737	91
976	3742	88
977	3746	84
978	3750	80
979	3754	76
980	3758	72
981	3762	68
982	3765	65
983	3769	61
984	3773	57
985	3777	53
986	3781	49
987	3785	45
988	3788	42
989	3792	38
990	3796	34
991	3799	30
992	3803	26
993	3807	22
994	3811	19
995	3814	15
996	3818	11
997	3822	7
998	3825	3
999	3829	0
