iter	Logloss
0	0.6790273049
1	0.6648560272
2	0.6541069685
3	0.641292073
4	0.6284625341
5	0.6191910896
6	0.6095656066
7	0.5994443496
8	0.5898252881
9	0.5812000732
10	0.573221751
11	0.5650199171
12	0.5573794562
13	0.5517513571
14	0.5447238428
15	0.5377594222
16	0.5315748152
17	0.5263816054
18	0.5204899989
19	0.5154063779
20	0.5109803132
21	0.5077373471
22	0.5032087001
23	0.4988894364
24	0.4947621164
25	0.4913850646
26	0.4875089637
27	0.4842209711
28	0.4808979645
29	0.4777459581
30	0.4747608899
31	0.4715866797
32	0.4691417879
33	0.466289926
34	0.4633811994
35	0.4606280378
36	0.4584228727
37	0.4562175699
38	0.4537481711
39	0.4516407322
40	0.4494223099
41	0.4478230293
42	0.4458374817
43	0.4443320582
44	0.4430400932
45	0.4412881302
46	0.4396766571
47	0.4381391544
48	0.4366447814
49	0.4351478307
50	0.434128587
51	0.4326315004
52	0.431066311
53	0.4298279209
54	0.4284769213
55	0.4274482932
56	0.4262507768
57	0.4252906149
58	0.4243117506
59	0.423038673
60	0.4219980886
61	0.4209023321
62	0.420264019
63	0.4193830018
64	0.4184750312
65	0.4175851689
66	0.4165673731
67	0.4157401492
68	0.4150035073
69	0.4141685064
70	0.4133889497
71	0.4124700868
72	0.4116714984
73	0.4109384649
74	0.4102656938
75	0.4094677774
76	0.4086857614
77	0.4079690695
78	0.4073145306
79	0.406725905
80	0.4062265635
81	0.4056709708
82	0.4050601682
83	0.4046341117
84	0.4041068382
85	0.403546063
86	0.4031970048
87	0.4026506925
88	0.4021056304
89	0.401762603
90	0.4013472871
91	0.4008408611
92	0.4004448233
93	0.3999173538
94	0.3994309202
95	0.3990085379
96	0.3985943055
97	0.3980550186
98	0.3975830049
99	0.3971249843
100	0.396836117
101	0.3964002414
102	0.3961490471
103	0.3956577279
104	0.3953079775
105	0.3949209174
106	0.3946508472
107	0.3942409457
108	0.3938369357
109	0.3934936183
110	0.3930233381
111	0.3927046247
112	0.3923257777
113	0.3919791153
114	0.3915958897
115	0.3912569202
116	0.3909446752
117	0.3906513038
118	0.3903130228
119	0.3899050039
120	0.3895793944
121	0.3892954256
122	0.3892778741
123	0.3888980224
124	0.3885889614
125	0.3885278445
126	0.3882032696
127	0.3878793117
128	0.387568409
129	0.3873373708
130	0.3871032482
131	0.3868175604
132	0.3864910754
133	0.3862623134
134	0.3860459778
135	0.385726299
136	0.3854920739
137	0.3852463451
138	0.3849663868
139	0.3847232493
140	0.3844422575
141	0.3841523115
142	0.3838899205
143	0.3836312516
144	0.383332559
145	0.3830199188
146	0.382833122
147	0.382680148
148	0.3823802285
149	0.3821894035
150	0.3819284628
151	0.3817265668
152	0.3814919136
153	0.3813926532
154	0.3811997093
155	0.3810626283
156	0.3809290934
157	0.3807423844
158	0.3804994457
159	0.3802725156
160	0.3800880634
161	0.3798328725
162	0.3796146202
163	0.3794351768
164	0.3791855337
165	0.3788264768
166	0.3786333187
167	0.3783051966
168	0.3781453676
169	0.3780282488
170	0.3777537125
171	0.3775906863
172	0.3773808626
173	0.3771662704
174	0.3768610725
175	0.3766966602
176	0.3764724778
177	0.3763011105
178	0.3760206875
179	0.3758378628
180	0.3758175897
181	0.3756105033
182	0.37542299
183	0.375235272
184	0.3750783628
185	0.3749612451
186	0.3747649321
187	0.3746555477
188	0.3745064238
189	0.3742947617
190	0.3741994718
191	0.3740038971
192	0.3737933759
193	0.3735639575
194	0.373397319
195	0.3732467797
196	0.3730656192
197	0.3728797957
198	0.3726670885
199	0.3725052516
200	0.3723832819
201	0.3720952804
202	0.3719203022
203	0.3717377702
204	0.3715982641
205	0.3714722216
206	0.3712039869
207	0.37098278
208	0.3707661342
209	0.3706489479
210	0.3705049944
211	0.3702987945
212	0.3701129087
213	0.3699893892
214	0.3697639311
215	0.3696401667
216	0.3694847416
217	0.3693553024
218	0.3691347069
219	0.3689515651
220	0.3687915089
221	0.3686485897
222	0.3684228844
223	0.3682311024
224	0.3681483937
225	0.367962088
226	0.3677637548
227	0.3675782436
228	0.3674297223
229	0.3672188543
230	0.3670724317
231	0.366899812
232	0.3667377938
233	0.366582162
234	0.3663648566
235	0.36613194
236	0.3660069713
237	0.3658243857
238	0.365690442
239	0.3655544168
240	0.3654105441
241	0.3653003556
242	0.3651856647
243	0.3650073394
244	0.3648795514
245	0.3647162109
246	0.3645365693
247	0.3644117423
248	0.3642253272
249	0.3641342382
250	0.3639169656
251	0.3636888467
252	0.363550836
253	0.3634782145
254	0.3634654102
255	0.3632131059
256	0.3630617379
257	0.3629455223
258	0.3628460445
259	0.3627232579
260	0.362624476
261	0.3624796025
262	0.362263089
